GUID,PROVID,PROVNAME,SDNAME,GEOTYPE,TEXTTHEME,TEXTID,HIER,INDENT,TEXTNAME,TEXTDATA,MDATA,FDATA
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13012,4.2.2.2.1,2,    Total - Income statistics in 2015 for one-person private households - 25% sample data,265,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13013,4.2.2.2.1.1,3,      Average total income of one-person households in 2015 ($),30044,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13014,4.2.2.2.1.2,3,      Average after-tax income of one-person households in 2015 ($),26401,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13015,4.2.2.2.2,2,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,560,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13016,4.2.2.2.2.1,3,      Average total income of two-or-more-person households in 2015 ($),73816,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13017,4.2.2.2.2.2,3,      Average after-tax income of two-or-more-person households in 2015 ($),63637,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13018,4.2.3,0,Total - Household total income groups in 2015 for private households - 100% data,820,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13019,4.2.3.1,1,"  Under $5,000",15,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13020,4.2.3.2,1,"  $5,000 to $9,999",25,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13021,4.2.3.3,1,"  $10,000 to $14,999",45,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13022,4.2.3.4,1,"  $15,000 to $19,999",75,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13023,4.2.3.5,1,"  $20,000 to $24,999",65,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13024,4.2.3.6,1,"  $25,000 to $29,999",40,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13025,4.2.3.7,1,"  $30,000 to $34,999",55,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13026,4.2.3.8,1,"  $35,000 to $39,999",50,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13027,4.2.3.9,1,"  $40,000 to $44,999",35,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13028,4.2.3.10,1,"  $45,000 to $49,999",40,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13029,4.2.3.11,1,"  $50,000 to $59,999",55,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13030,4.2.3.12,1,"  $60,000 to $69,999",60,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13031,4.2.3.13,1,"  $70,000 to $79,999",50,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13032,4.2.3.14,1,"  $80,000 to $89,999",55,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13033,4.2.3.15,1,"  $90,000 to $99,999",40,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13034,4.2.3.16,1,"  $100,000 and over",125,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13035,4.2.3.16.1,2,"    $100,000 to $124,999",60,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13036,4.2.3.16.2,2,"    $125,000 to $149,999",25,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13037,4.2.3.16.3,2,"    $150,000 to $199,999",20,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13038,4.2.3.16.4,2,"    $200,000 and over",15,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13039,4.2.4,0,Total - Household after-tax income groups in 2015 for private households - 100% data,820,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13040,4.2.4.1,1,"  Under $5,000",15,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13041,4.2.4.2,1,"  $5,000 to $9,999",25,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13042,4.2.4.3,1,"  $10,000 to $14,999",50,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13043,4.2.4.4,1,"  $15,000 to $19,999",80,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13044,4.2.4.5,1,"  $20,000 to $24,999",75,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13045,4.2.4.6,1,"  $25,000 to $29,999",45,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13046,4.2.4.7,1,"  $30,000 to $34,999",60,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13047,4.2.4.8,1,"  $35,000 to $39,999",55,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13048,4.2.4.9,1,"  $40,000 to $44,999",45,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13049,4.2.4.10,1,"  $45,000 to $49,999",35,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13050,4.2.4.11,1,"  $50,000 to $59,999",75,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13051,4.2.4.12,1,"  $60,000 to $69,999",65,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13052,4.2.4.13,1,"  $70,000 to $79,999",65,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13053,4.2.4.14,1,"  $80,000 to $89,999",45,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13054,4.2.4.15,1,"  $90,000 to $99,999",25,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13055,4.2.4.16,1,"  $100,000 and over",70,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13056,4.2.4.16.1,2,"    $100,000 to $124,999",35,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13057,4.2.4.16.2,2,"    $125,000 to $149,999",15,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,13058,4.2.4.16.3,2,"    $150,000 and over",15,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14000,4.3.1,0,Total - Income statistics in 2015 for economic families in private households - 100% data,515,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14001,4.3.1.1,1,  Median total income of economic families in 2015 ($),62656,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14002,4.3.1.2,1,  Median after-tax income of economic families in 2015 ($),56736,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14003,4.3.1.3,1,  Average family size of economic families,2.7,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14004,4.3.2,0,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,255,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14005,4.3.2.1,1,  Median total income of couple economic families without children or other relatives in 2015 ($),66304,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14006,4.3.2.2,1,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),58112,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14007,4.3.2.3,1,  Average family size of couple economic families without children or other relatives,2,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14008,4.3.3,0,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,135,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14009,4.3.3.1,1,  Median total income of couple economic families with children in 2015 ($),91776,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14010,4.3.3.2,1,  Median after-tax income of couple economic families with children in 2015 ($),79104,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14011,4.3.3.3,1,  Average family size of couple economic families with children,3.8,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14012,4.3.4,0,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,110,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14013,4.3.4.1,1,  Median total income of lone-parent economic families in 2015 ($),34304,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14014,4.3.4.2,1,  Median after-tax income of lone-parent economic families in 2015 ($),33280,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14015,4.3.4.3,1,  Average family size of lone-parent economic families,2.7,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14016,4.3.5,0,Total - Income statistics in 2015 for economic families in private households - 25% sample data,540,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14017,4.3.5.1,1,  Average total income of economic families in 2015 ($),73549,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14018,4.3.5.2,1,  Average after-tax income of economic families in 2015 ($),63360,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14019,4.3.6,0,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,275,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14020,4.3.6.1,1,  Average total income of couple economic families without children or other relatives in 2015 ($),70246,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14021,4.3.6.2,1,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),60347,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14022,4.3.7,0,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,160,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14023,4.3.7.1,1,  Average total income of couple economic families with children in 2015 ($),93053,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14024,4.3.7.2,1,  Average after-tax income of couple economic families with children in 2015 ($),79042,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14025,4.3.8,0,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,95,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14026,4.3.8.1,1,  Average total income of lone-parent economic families in 2015 ($),50498,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14027,4.3.8.2,1,  Average after-tax income of lone-parent economic families in 2015 ($),46087,,
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14028,4.3.9,0,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,350,150,205
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14029,4.3.9.1,1,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),22816,24256,21280
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14030,4.3.9.2,1,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),21200,21600,20544
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14031,4.3.10,0,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,320,140,185
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14032,4.3.10.1,1,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),30034,31066,29253
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14033,4.3.10.2,1,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),26382,26916,25978
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14034,4.3.11,0,Total - Economic family income decile group for the population in private households - 100% data,1725,810,915
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14035,4.3.11.1,1,  In the bottom half of the distribution,1180,530,645
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14036,4.3.11.1.1,2,    In the bottom decile,320,130,190
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14037,4.3.11.1.2,2,    In the second decile,300,130,170
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14038,4.3.11.1.3,2,    In the third decile,235,110,120
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14039,4.3.11.1.4,2,    In the fourth decile,165,70,85
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14040,4.3.11.1.5,2,    In the fifth decile,165,80,85
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14041,4.3.11.2,1,  In the top half of the distribution,550,275,275
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14042,4.3.11.2.1,2,    In the sixth decile,170,85,90
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14043,4.3.11.2.2,2,    In the seventh decile,130,65,65
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14044,4.3.11.2.3,2,    In the eighth decile,125,60,65
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14045,4.3.11.2.4,2,    In the ninth decile,65,35,30
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,14046,4.3.11.2.5,2,    In the top decile,55,30,25
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15000,4.4.1,0,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,1725,810,915
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15001,4.4.1.1,1,  0 to 17 years,320,170,150
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15002,4.4.1.1.1,2,    0 to 5 years,110,55,50
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15003,4.4.1.2,1,  18 to 64 years,965,440,525
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15004,4.4.1.3,1,  65 years and over,440,195,245
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15005,4.4.2,0,"In low income based on the Low-income measure, after tax (LIM-AT)",475,195,275
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15006,4.4.2.1,1,  0 to 17 years,130,70,60
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15007,4.4.2.1.1,2,    0 to 5 years,50,25,25
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15008,4.4.2.2,1,  18 to 64 years,240,85,150
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15009,4.4.2.3,1,  65 years and over,110,40,65
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15010,4.4.3,0,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",27.5,24.1,30.1
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15011,4.4.3.1,1,  0 to 17 years (%),40.6,41.2,40
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15012,4.4.3.1.1,2,    0 to 5 years (%),45.5,45.5,50
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15013,4.4.3.2,1,  18 to 64 years (%),24.9,19.3,28.6
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15014,4.4.3.3,1,  65 years and over (%),25,20.5,26.5
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15015,4.4.4,0,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",215,95,115
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15016,4.4.4.1,1,  0 to 17 years,55,35,25
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15017,4.4.4.1.1,2,    0 to 5 years,25,15,10
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15018,4.4.4.2,1,  18 to 64 years,135,55,80
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15019,4.4.4.3,1,  65 years and over,20,10,15
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15020,4.4.5,0,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",12.5,11.7,12.6
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15021,4.4.5.1,1,  0 to 17 years (%),17.2,20.6,16.7
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15022,4.4.5.1.1,2,    0 to 5 years (%),22.7,27.3,20
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15023,4.4.5.2,1,  18 to 64 years (%),14,12.5,15.2
2016A00051201008,12,Nova Scotia,Shelburne,Town,Income,15024,4.4.5.3,1,  65 years and over (%),4.5,5.1,6.1
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12000,4.1.1,0,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,425,195,230
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12001,4.1.1.1,1,  Number of total income recipients aged 15 years and over in private households - 100% data,415,195,225
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12002,4.1.1.1.1,2,    Median total income in 2015 among recipients ($),27861,33984,21408
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12003,4.1.1.2,1,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,420,195,225
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12004,4.1.1.2.1,2,    Median after-tax income in 2015 among recipients ($),25408,30176,20992
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12005,4.1.1.3,1,  Number of market income recipients aged 15 years and over in private households - 100% data,320,165,160
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12006,4.1.1.3.1,2,    Median market income in 2015 among recipients ($),24597,28992,18112
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12007,4.1.1.4,1,  Number of government transfers recipients aged 15 years and over in private households - 100% data,365,165,200
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12008,4.1.1.4.1,2,    Median government transfers in 2015 among recipients ($),10560,10976,10400
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12009,4.1.1.5,1,  Number of employment income recipients aged 15 years and over in private households - 100% data,250,130,125
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12010,4.1.1.5.1,2,    Median employment income in 2015 among recipients ($),25408,28608,21120
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12011,4.1.2,0,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,425,205,225
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12012,4.1.2.1,1,  Number of total income recipients aged 15 years and over in private households - 25% sample data,410,200,215
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12013,4.1.2.1.1,2,    Average total income in 2015 among recipients ($),31122,36888,25801
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12014,4.1.2.2,1,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,420,195,220
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12015,4.1.2.2.1,2,    Average after-tax income in 2015 among recipients ($),26676,31339,22453
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12016,4.1.2.3,1,  Number of market income recipients aged 15 years and over in private households - 25% sample data,325,170,155
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12017,4.1.2.3.1,2,    Average market income in 2015 among recipients ($),27239,31961,21899
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12018,4.1.2.4,1,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,360,165,195
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12019,4.1.2.4.1,2,    Average government transfers in 2015 among recipients ($),11399,11204,11566
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12020,4.1.2.5,1,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,230,125,110
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12021,4.1.2.5.1,2,    Average employment income in 2015 among recipients ($),28344,32056,24187
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12022,4.1.3,0,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,425,205,225
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12023,4.1.3.1,1,  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,80,35,45
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12024,4.1.3.1.1,2,    Median employment income in 2015 for full-year full-time workers ($),39197,60534,32752
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12025,4.1.3.1.2,2,    Average employment income in 2015 for full-year full-time workers ($),48057,61820,38057
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12026,4.1.4,0,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,100,100,100
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12027,4.1.4.1,1,  Market income (%),70.7,75.4,64.6
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12028,4.1.4.1.1,2,    Employment income (%),56,59.5,50.3
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12029,4.1.4.2,1,  Government transfers (%),29,24.2,34.3
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12030,4.1.5,0,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,430,200,230
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12031,4.1.5.1,1,  Without total income,15,5,10
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12032,4.1.5.2,1,  With total income,415,190,220
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12033,4.1.5.3,1,  Percentage with total income,96.5,95,95.7
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12034,4.1.5.3.1,2,"    Under $10,000 (including loss)",45,10,35
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12035,4.1.5.3.2,2,"    $10,000 to $19,999",90,30,65
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12036,4.1.5.3.3,2,"    $20,000 to $29,999",85,35,50
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12037,4.1.5.3.4,2,"    $30,000 to $39,999",75,40,35
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12038,4.1.5.3.5,2,"    $40,000 to $49,999",40,30,15
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12039,4.1.5.3.6,2,"    $50,000 to $59,999",20,15,10
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12040,4.1.5.3.7,2,"    $60,000 to $69,999",20,15,10
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12041,4.1.5.3.8,2,"    $70,000 to $79,999",10,10,0
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12042,4.1.5.3.9,2,"    $80,000 to $89,999",10,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12043,4.1.5.3.10,2,"    $90,000 to $99,999",0,0,0
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12044,4.1.5.3.11,2,"    $100,000 and over",10,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12045,4.1.5.3.11.1,3,"      $100,000 to $149,999",5,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12046,4.1.5.3.11.2,3,"      $150,000 and over",5,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12047,4.1.6,0,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,425,195,230
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12048,4.1.6.1,1,  Without after-tax income,10,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12049,4.1.6.2,1,  With after-tax income,415,195,220
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12050,4.1.6.3,1,  Percentage with after-tax income,97.6,100,95.7
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12051,4.1.6.3.1,2,"    Under $10,000 (including loss)",50,10,40
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12052,4.1.6.3.2,2,"    $10,000 to $19,999",95,35,65
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12053,4.1.6.3.3,2,"    $20,000 to $29,999",105,50,55
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12054,4.1.6.3.4,2,"    $30,000 to $39,999",75,40,35
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12055,4.1.6.3.5,2,"    $40,000 to $49,999",40,25,15
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12056,4.1.6.3.6,2,"    $50,000 to $59,999",25,15,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12057,4.1.6.3.7,2,"    $60,000 to $69,999",10,10,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12058,4.1.6.3.8,2,"    $70,000 to $79,999",5,5,0
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12059,4.1.6.3.9,2,"    $80,000 and over",10,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12060,4.1.6.3.9.1,3,"      $80,000 to $89,999",5,0,0
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12061,4.1.6.3.9.2,3,"      $90,000 to $99,999",5,5,0
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12062,4.1.6.3.9.3,3,"      $100,000 and over",5,0,0
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12063,4.1.7,0,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,430,200,230
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12064,4.1.7.1,1,  Without employment income,180,65,110
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12065,4.1.7.2,1,  With employment income,250,130,125
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12066,4.1.7.3,1,  Percentage with employment income,58.1,65,54.3
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12067,4.1.7.3.1,2,"    Under $5,000 (including loss)",30,10,20
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12068,4.1.7.3.2,2,"    $5,000 to $9,999",20,10,10
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12069,4.1.7.3.3,2,"    $10,000 to $19,999",45,20,25
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12070,4.1.7.3.4,2,"    $20,000 to $29,999",50,30,25
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12071,4.1.7.3.5,2,"    $30,000 to $39,999",35,20,20
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12072,4.1.7.3.6,2,"    $40,000 to $49,999",20,15,10
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12073,4.1.7.3.7,2,"    $50,000 to $59,999",15,10,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12074,4.1.7.3.8,2,"    $60,000 to $69,999",10,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12075,4.1.7.3.9,2,"    $70,000 to $79,999",10,10,0
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12076,4.1.7.3.10,2,"    $80,000 and over",15,10,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12077,4.1.7.3.10.1,3,"      $80,000 to $89,999",5,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12078,4.1.7.3.10.2,3,"      $90,000 to $99,999",5,5,0
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,12079,4.1.7.3.10.3,3,"      $100,000 and over",5,5,5
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,13000,4.2.1,0,Total - Income statistics in 2015 for private households by household size - 100% data,245,,
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,13001,4.2.1.1,1,  Median total income of households in 2015 ($),46464,,
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,13002,4.2.1.2,1,  Median after-tax income of households in 2015 ($),41536,,
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,13003,4.2.1.2.1,2,    Total - Income statistics in 2015 for one-person private households - 100% data,100,,
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,13004,4.2.1.2.1.1,3,      Median total income of one-person households in 2015 ($),24640,,
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,13005,4.2.1.2.1.2,3,      Median after-tax income of one-person households in 2015 ($),24128,,
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,13006,4.2.1.2.2,2,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,150,,
2016A00051201009,12,Nova Scotia,Lockeport,Town,Income,13007,4.2.1.2.2.1,3,      Median total income of two-or-more-person households in 2015 ($),59904,,
